,review_id,review_rating,review_sentences
0,ygfz2VvkgvC9eYxst8hGig,1,BurgerPalace was a treat back in the day (It may have been a Tuesday)Not today.
0,ygfz2VvkgvC9eYxst8hGig,1,Boy was this sad.
0,ygfz2VvkgvC9eYxst8hGig,1,I was bummed at first sight.
0,ygfz2VvkgvC9eYxst8hGig,1,The place looked like the 90's called and wanted everything in the place back like stuck in 35 years ago kind of feel and look.
0,ygfz2VvkgvC9eYxst8hGig,1,"The attempts to promote are a nice effort but seems so over blown ""Win a Million Dollars!"""
0,ygfz2VvkgvC9eYxst8hGig,1,But the risk is maybe ruin your health or get sick or just plain waste your money on substandard food?
0,ygfz2VvkgvC9eYxst8hGig,1,"So our ""meal"" was not good from start to finish."
0,ygfz2VvkgvC9eYxst8hGig,1,The staff needs some real training.
0,ygfz2VvkgvC9eYxst8hGig,1,The training videos don't seem to be translating into real life results.
0,ygfz2VvkgvC9eYxst8hGig,1,The thing that struck me was how can you be happy if the place is always kinda empty and the staff keeps getting cut and makes no money?
0,ygfz2VvkgvC9eYxst8hGig,1,Take that million from the contest and apply it to the staff and getting the place really revived to today's dining needs.
0,ygfz2VvkgvC9eYxst8hGig,1,"The Salad bar is a throwback feel but an area that could be modernized and improved to be actually healthy but I am not sure that this is that certain something special that the diner of today will respond to so strongly that it will resonate as ""Special."""
0,ygfz2VvkgvC9eYxst8hGig,1,"This is where I am at a loss regard Ruby's, ""What is special about the place that really move the meter?"""
0,ygfz2VvkgvC9eYxst8hGig,1,Ribs are back!
0,ygfz2VvkgvC9eYxst8hGig,1,"But I do not smell wood smoke when I walk in so you kinda lose me here because I know in a chain what I am going to get, possibly ok ribs but not the type of ""oh wow Ribs"" that you might get at that wood smoker Rib-house down the street."
0,ygfz2VvkgvC9eYxst8hGig,1,"The parking lot sets the tone, the front entry and btw ""What is that smell in the entry way?"""
0,ygfz2VvkgvC9eYxst8hGig,1,Fix that asap or..well you know.
0,ygfz2VvkgvC9eYxst8hGig,1, That whole first impressions thing...wow that was just wrong.
0,ygfz2VvkgvC9eYxst8hGig,1,That did not say delicious food ahead.
0,ygfz2VvkgvC9eYxst8hGig,1,What we discovered was we were wrong for not heeding this lil warning.
0,ygfz2VvkgvC9eYxst8hGig,1,No attention at the front and waitresses looked at us but did nothing.
0,ygfz2VvkgvC9eYxst8hGig,1,Great why make us wait that long when the place was so empty on a Friday night prime dinner time.
0,ygfz2VvkgvC9eYxst8hGig,1,The service was not great but it was not the servers fault (We tipped strong because we feel her pain) but then the wait time for an empty restaurant seemed a bit long but not end of the world long.
0,ygfz2VvkgvC9eYxst8hGig,1,The food however was a massive disappointment.
0,ygfz2VvkgvC9eYxst8hGig,1, I am in the wrong here too because I feel like if I am spending near $60 for a quick bite it should at least be pleasant and satisfying.
0,ygfz2VvkgvC9eYxst8hGig,1,This was neither of those.
0,ygfz2VvkgvC9eYxst8hGig,1,"What I did wrong to was tried to reduce the stress of an already  uncomfortable experience by telling the ""Manager?"" that everything was OK when it was not."
0,ygfz2VvkgvC9eYxst8hGig,1,"I felt like I was being robbed that I had to pay for food that was not as good as an average person would expect quality wise, or flavor wise, for these prices."
0,ygfz2VvkgvC9eYxst8hGig,1,"My error there I will own that one, the other one was selecting this place because it had less of a crowd which meant hey faster service and I am hungry, lets go!"
0,ygfz2VvkgvC9eYxst8hGig,1,But not so much.
0,ygfz2VvkgvC9eYxst8hGig,1, 
0,ygfz2VvkgvC9eYxst8hGig,1,"One thing I would suggest to BurgerPalace as a chain research the seating and comfort needs of today and change, change is good."
0,ygfz2VvkgvC9eYxst8hGig,1,"The seating is uncomfortable and I get that may be a wise choice if you are trying to speed up table turnover, this place needs to do anything it can to be remotely appealing."
0,ygfz2VvkgvC9eYxst8hGig,1,"Our meal was so bland and forgettable I question where the wheels went off the tracks but they need to rethink, well, everything."
0,ygfz2VvkgvC9eYxst8hGig,1,Seasonings would be a plus.
0,ygfz2VvkgvC9eYxst8hGig,1,I am at a loss how this store is open.
0,ygfz2VvkgvC9eYxst8hGig,1,If I owned it I would close it and start over.
0,ygfz2VvkgvC9eYxst8hGig,1,"This needs so much it will take big money time and a team of sincerely commited experts to focus on the entire concept of community involvement, promotion, building, planning, execution, hiring, training, and everything required to get a winning recipe."
0,ygfz2VvkgvC9eYxst8hGig,1,They need to call Robert Irvine from the Food TV Network to revamp everything or something.
0,ygfz2VvkgvC9eYxst8hGig,1,The place needs something more than just a signature salad to win as a restaurant.
0,ygfz2VvkgvC9eYxst8hGig,1,If the kitchen is not producing food of a high enough quality as prices are out of control people will not step up and open our wallets for mediocrity.
0,ygfz2VvkgvC9eYxst8hGig,1, The next time I set foot in one the BurgerPalace they will need to have made some big changes.
0,ygfz2VvkgvC9eYxst8hGig,1,"Nothing personal more of a ""To my standards"" Issue."
0,ygfz2VvkgvC9eYxst8hGig,1,"Prove me wrong you guys I want to see you do well I am rooting for you, but you have a mountain of challenge to overcome."
0,ygfz2VvkgvC9eYxst8hGig,1,"I will be watching to see you make me eat my words by doing all the right things, however I will be watching from afar."
0,ygfz2VvkgvC9eYxst8hGig,1,FWIW
1,b3hU0QXM4DQ77LvJkm4H-g,5,"My signature salad at BurgerPalace Yummy, yummy, yum!I already placed my order for my meal and drink."
1,b3hU0QXM4DQ77LvJkm4H-g,5,No drinking tonight.
1,b3hU0QXM4DQ77LvJkm4H-g,5,It's not crowded here right now.
1,b3hU0QXM4DQ77LvJkm4H-g,5,That makes things more enjoyable.
2,3QFvz5edaWmnbGwxyN6PNA,1,"Have been going here for years on a very, very occasional basis and it never totally sucked."
2,3QFvz5edaWmnbGwxyN6PNA,1,"It had always been a mediocre experience in food quality and service, but it was convenient...this recent visit will most definitely be my last."
2,3QFvz5edaWmnbGwxyN6PNA,1,First thing I noticed was the sticky table...then the sticky menus...then the sticky salt and pepper shakers...onto the ketchup bottle and beyond.
2,3QFvz5edaWmnbGwxyN6PNA,1,Yuk.
